halId_s,docType_s,title_s,authFullName_s,producedDate_s,domain_s,journalTitle_s,conferenceTitle_s,language_s,inPress_bool,keyword_s,labStructAcronym_s
hal-02408761,ART,Proportionally dense subgraph of maximum size: Complexity and approximation,"Cristina Bazgan,Janka Chlebíková,Clément Dallard,Thomas Pontoizeau",2019,0.info,Discrete Applied Mathematics,,en,false,"Dense subgraph,Approximation,Complexity,Hamiltonian cubic graphs",LAMSADE
hal-02361243,ART,The probabilistic minimum dominating set problem,"Nicolas Boria,Cécile Murat,Vangelis Th. Paschos",2018,0.info,Discrete Applied Mathematics,,en,false,"Complexity,Approximation,Probabilistic optimization,Dominating set,Wireless sensor networks",LAMSADE
hal-02408929,ART,Aspects of upper defensive alliances,"Cristina Bazgan,Henning Fernau,Zsolt Tuza",2019,0.info,Discrete Applied Mathematics,,en,false,"Approximability,Defensive alliance,NP-hardness,Graphs of bounded average degree",LAMSADE
hal-03082827,COUV,A Preliminary Comparison of P-Tool Consistency,"Javier Murillo,Flavio Spetale,Elizabeth Tapia,Flavia Krsticevic,Olivier Cailloux,Serge Guillaume,Gustavo Vazquez,Tamara Fernandez,Sébastien Destercke,Sergio Ponce,Pilar Bulacio",2020-10-01,"0.sdv,1.sdv.bbm,2.sdv.bbm.bm",,,en,false,,LAMSADE
hal-02096392,ART,The β -ranking and the β -measure for directed networks: Axiomatic characterizations,"Denis Bouyssou,Marchant Thierry",2018,"0.info,0.shs,1.shs.eco",Social Networks,,en,false,"Relational power measure,Beta-measure,Directed network",LAMSADE
hal-03218720,COMM,Using User Contextual Profile for Recommendation in Collaborations,"Siying Li,Marie-Hélène Abel,Elsa Negre",2019-04,0.info,,Research and Innovation Forum 2019,en,false,En attente,"Heudiasyc,LAMSADE"
hal-02103421,COMM,Ceteris Paribus Majority for social ranking,"Adrian Haret,Hossein Khani,Stefano Moretti,Meltem Ozturk",2018-07,0.info,,27th International Joint Conference on Artificial Intelligence (IJCAI-ECAI-18),en,false,,LAMSADE
hal-02379719,ART,Introduction,"Vito Fragnelli,Stefano Moretti,Tamás Solymosi",2019,0.info,International Game Theory Review,,en,false,Game theory,LAMSADE
hal-02347851,ART,A note on selective line-graphs and partition colorings,"Denis Cornaz,Fabio Furini,Enrico Malaguti,Alberto Santini",2019,0.info,Operations Research Letters,,en,false,"Selective/partition coloring,Line graph,Stable set,Max-coloring",LAMSADE
hal-02431909,COMM,Consensus in Opinion Formation Processes in Fully Evolving Environments,"Vincenzo Auletta,Angelo Fanelli,Diodato Ferraioli",2019-01-27,"0.info,1.info.info-ai,0.info,1.info.info-cc",,33rd AAAI Conference on Artificial Intelligence,en,false,,"CREM,LAMSADE"
hal-03111581,ART,The Problem with Crime Problem-Solving: Towards a Second Generation Pop?,"Hervé Borrion,Paul Ekblom,Dalal Alrajeh,Aiduan Li Borrion,Aidan Keane,Daniel Koch,Timothy Mitchener-Nissen,Sonia Toubaline",2020-01-01,"0.info,1.info.info-ro",British Journal of Criminology,,en,false,,LAMSADE
hal-03131204,ART,Quel trajet optimal pour passer au moins une fois par toutes les lignes de métro ?,Florian Sikora,2020-11-25,"0.info,1.info.info-ro,0.info,1.info.info-dm",Interstices,,fr,false,"Trajet optimal,Problème du postier rural,Graphe,Optimisation",LAMSADE
hal-03118166,COMM,Monte Carlo Inverse Folding,"Tristan Cazenave,Thomas Fournier",2020,0.info,,"Monte Carlo Search 2020, IJCAI Workshop,",en,false,,LAMSADE
hal-01764024,ART,The Fair OWA One-to-one Assignment Problem: NP-hardness and Polynomial Time Special Cases.,"Julien Lesca,Michel Minoux,Patrice Perny",2018,"0.info,0.info,1.info.info-cc",Algorithmica,,en,true,,LAMSADE
hal-02930241,COMM,"Social Ranking Manipulability for the CP-Majority\, Banzhaf and Lexicographic Excellence Solutions","Tahar Allouche,Bruno Escoffier,Stefano Moretti,Meltem Ozturk",2020-07-11,0.info,,Twenty-Ninth International Joint Conference on Artificial Intelligence and Seventeenth Pacific Rim International Conference on Artificial Intelligence {IJCAI-PRICAI-20},en,false,,LAMSADE
hal-03118168,COMM,Stabilized Nested Rollout Policy Adaptation,"Tristan Cazenave,Jean-Baptiste Sevestre,Matthieu Toulemont",2020,0.info,,Monte Carlo Search at IJCAI,en,false,,LAMSADE
hal-03128664,COMM,A Metric Learning Approach to Graph Edit Costs for Regression,"Linlin Jia,Benoit Gaüzère,Florian Yger,Paul Honeine",2021-01-21,"0.stat,1.stat.ml,0.spi,1.spi.signal,0.math,1.math.math-st,0.info,1.info.info-ts,0.info,1.info.info-ne,0.info,1.info.info-lg,0.info,1.info.info-cy,0.info,1.info.info-cv,0.info,1.info.info-ai",,Proceedings of IAPR Joint International Workshops on Statistical techniques in Pattern Recognition (SPR 2020) and Structural and Syntactic Pattern Recognition (SSPR 2020),en,false,"Graph edit distance,Edit costs,Metric Learning","LITIS,LAMSADE,LAMSADE"
hal-02916167,COMM,Template-Based Graph Clustering,"M. Riva,F. Yger,P. Gori,R. Cesar,I. Bloch",2020,"0.info,1.info.info-ai",,"ECML-PKDD, Workshop on Graph Embedding and Minin (GEM)",en,false,,"LTCI,LTCI,LAMSADE,LAMSADE,IME/USP"
hal-02984423,COMM,Geodesically-convex optimization for averaging partially observed covariance matrices,"Florian Yger,Sylvain Chevallier,Quentin Barthélemy,Suvrit Sra",2020-11-18,"0.stat,1.stat.ml",,Asian Conference on Machine Learning (ACML),en,false,"SPD matrices,Average,Missing data,Data imputation","LAMSADE,LAMSADE,LISV"
cea-01838501,COMM,Graph sketching-based Space-efficient Data Clustering,"Anne Morvan,Krzysztof Choromanski,Cedric Gouy-Pailler,Jamal Atif",2018-05-03,"0.info,1.info.info-ai,0.info,1.info.info-ds,0.info,1.info.info-lg",,2018 SIAM International Conference on Data Mining,en,false,"Space constraints,Resources-limited mobile devices,DBMSTClu,Clustering partition,Spectral Clustering method,Data cluster","LIST,LAMSADE,LAMSADE"
hal-02170681,ART,Time-approximation trade-offs for inapproximable problems,"Édouard Bonnet,Michael Lampis,Vangelis Th. Paschos",2018,0.info,Journal of Computer and System Sciences,,en,false,"Approximation algorithms,Exponential algorithms,Sub-exponential algorithms,Hardness of approximation",LAMSADE
hal-03107586,COMM,Towards constant-factor approximation for chordal / distance-hereditary vertex deletion,"Jungho Ahn,Eun Jung Kim,Euiwoong Lee",2020-12-14,0.info,,ISAAC 2020,en,false,,LAMSADE
halshs-02938787,ART,Flexibility of dynamic blending with alternative routings combined with security stocks: a new approach in a mining supply chain,"Ahlam Azzamouri,Mouna Bamoumen,Hajar Hilali,Vincent Hovelaque,Vincent Giard",2020,"0.shs,1.shs.gestion",International Journal of Production Research,,en,true,,"CREM,LAMSADE"
hal-02517262,ART,Metrizable preferences over preferences,"Gilbert Laffond,Jean Lainé,M. Remzi Sanver",2020,"0.shs,0.shs,1.shs.eco",Social Choice and Welfare,,en,true,,"NNM (UM 82),LAMSADE"
hal-03086845,ART,Empowering biodiversity knowledge,"Vincent Devictor,Yves Meinard",2020,"0.sde,1.sde.be,0.sde,1.sde.es,0.shs,1.shs.hisphilso",Conservation Biology,,en,false,,"UMR ISEM,LAMSADE"
hal-02164728,COMM,Erdős-Pósa property of chordless cycles and its applications,"Eun Jung Kim,O-Joung Kwon",2018-01,0.info,,29th Annual ACM-SIAM Symposium on Discrete Algorithms (SODA 18),en,false,Graphs,LAMSADE
hal-02277474,COMM,Economic evaluation in decision models: a critical review and methodological propositions,"Najat Bara,Frédéric Gautier,Vincent Giard,Frédéric Fontane",2019-06,0.info,,EurOMA 2019 (26th EurOMA Conference Operations adding value to society),en,false,"Industrial management,Mathematical model,Economic model","UP1,LAMSADE"
hal-01991105,ART,Scheduling of open-pit phosphate mine extraction,"Ahlam Azzamouri,Pierre Fénies,Frédéric Fontane,Vincent Giard",2018,0.info,International Journal of Production Research,,en,false,"Optimisation,Simulation,Planning,Scheduling,Open-pit mining",LAMSADE
hal-02301638,COMM,CBPF: Leveraging Context and Content Information for Better Recommendations,"Zahra Vahidi Ferdousi,Dario Colazzo,Elsa Negre",2018-11,0.info,,ADMA 2018:  International Conference on Advanced Data Mining and Applications,en,false,"Context-aware recommender system,Contextual information integration,Pre-filtering recommender system",LAMSADE
hal-02170706,COMM,Training Compact Deep Learning Models for Video Classification Using Circulant Matrices,"Alexandre Araújo,Benjamin Negrevergne,Yann Chevaleyre,Jamal Atif",2018-09,0.info,,15th European Conference on Computer Vision (ECCV 2018),en,false,"Deep learning,Computer vision,Structured matrices,Circulant matrices",LAMSADE
hal-02361200,COMM,The probabilistic k-center problem,"Marc Demange,Marcel Adonis Haddad,Cécile Murat",2018-07,0.info,,GEO-SAFE workshop - Robust Solutions for Fire Fighting (RSFF'18),en,false,"Wildfire management,K-centre problem,Probabilistic combinatorial optimisation",LAMSADE
hal-02408634,COMM,Relaxation and Matrix Randomized Rounding for the Maximum Spectral Subgraph Problem,"Cristina Bazgan,Paul Beaujean,Eric Gourdin",2018-12,0.info,,12th International Conference on Combinatorial Optimization and Applications (COCOA 2018),en,false,"Approximation algorithm,Relaxation and rounding,Semidefinite programming,Spectral graph theory,Random graphs",LAMSADE
hal-02308172,ART,Mixing Dyadic and Deliberative Opinion Dynamics in an Agent-Based Model of Group Decision-Making,"George Butler,Gabriella Pigozzi,Juliette Rouchier",2019,0.info,Complexity,,en,false,"Decision-Making,Agent-Based Model",LAMSADE
hal-02347751,ART,DSS approach for heterogeneous parallel machines scheduling considering proximate supply chain constraints,"Ahlam Azzamouri,Najat Bara,Selwa Elfirdoussi,Imane Essaadi,Frédéric Fontane,Vincent Giard",2019,0.info,International Journal of Production Research,,en,false,"Decision Support System,Optimization,Scheduling,Heterogeneous parallel processors,Sequence dependent setup,Non-availability constraints,Supply chain",LAMSADE
hal-02301809,COMM,Streaming saturation for large RDF graphs with dynamic schema information,"Mohammad Amin Farvardin,Dario Colazzo,Khalid Belhajjame,Carlo Sartiani",2019-06,0.info,,17th ACM SIGPLAN International Symposium on Database Programming Languages (DBPL 2019),en,false,"RDF saturation,RDF streams,Big Data,Spark","LAMSADE,DiMIE"
hal-02308534,COMM,An opinion diﬀusion model with deliberation,"George Butler,Gabriella Pigozzi,Juliette Rouchier",2019-05,0.info,,20th International Workshop on Multi-Agent-Based Simulation (MABS 2019),en,false,"Opinion diffusion,Abstract argumentation,Agent-based modeling,Deliberation",LAMSADE
hal-02006575,ART,Les systèmes de recommandation : une catégorisation,Elsa Negre,2018-09-20,"0.info,1.info.info-mo,0.shs,1.shs.info",Interstices,,fr,false,"Données,Culture,Société",LAMSADE
hal-02178324,COMM,Population Behaviors in Crisis Situations - A Study of Behavioral Factors in the PPI Ineos Emergency Response Exercise,"Maude Arru,Elsa Negre,Camille Rosenthal-Sabroux",2018-01,0.info,,"51st Hawaii International Conference on System Sciences, HICSS 2018",en,false,"Communication and Information Systems Technology for Crisis and Disaster Management,Behaviors,Crisis Management,Data Analysis,Emergency Response Exercise,Populations",LAMSADE
hal-02157871,COMM,Reverse Blending: an efficient answer to the challenge of obtaining required fertilizer variety,"Latifa Benhamou,Frédéric Fontane,Vincent Giard,Bernard Grabot",2018-07,0.info,,ILS Conference 2018,en,false,"Input creation,Fertilizer,Diversity,Reverse blending",LAMSADE
hal-02184833,ART,Upper Domination: Towards a Dichotomy Through Boundary Properties,"Hassan Aboueisha,Shahid Hussain,Vadim Lozin,Jérôme Monnot,Bernard Ries,Viktor Zamaraev",2018,0.info,Algorithmica,,en,false,"Upper dominating set,Boundary class,Complexity dichotomy,NP-hard","WMI,LAMSADE"
hal-02344051,COMM,Extension and its price for the connected vertex cover problem,"Mehdi Khosravian Ghadikolaei,Nikolaos Melissinos,Jérôme Monnot,Aris Pagourtzis",2019-07-23,"0.info,0.info,1.info.info-cc,0.info,1.info.info-dm,0.info,1.info.info-ro,0.math",,"Combinatorial Algorithms - 30th International Workshop, IWOCA 2019, Proceedings",en,false,"Extension problems,Connected vertex cover,Upper con- nected vertex cover,Price of extension,Special graph classes,Approxima- tion algorithms,NP-completeness",LAMSADE
hal-02446081,COMM,Applying the Method of Reflections through an Event Log for Evidence-based Process Innovation,"Pavlos Delias,Mehdi Acheli,Daniela Grigori",2019-06,0.info,,2019 International Conference on Process Mining ICPM 2019,en,false,"Process Innovation,Bipartite Network,Evidence-based Decision Support",LAMSADE
hal-02178384,COMM,Correlation-Based Pre-Filtering for Context-Aware Recommendation,"Zahra Vahidi Ferdousi,Dario Colazzo,Elsa Negre",2018-03,0.info,,2018 IEEE International Conference on Pervasive Computing and Communications Workshops (PerCom Workshops),en,false,"Context-Aware Recommender System,Contextual Information Integration,Contextual Pre-Filtering,Collaborative Filtering,Matrix Factorization",LAMSADE
hal-02414733,COMM,"Pricing for Drivers and Customers for Goods Deliveries\, Triennal Symposium on Transportation","Luce Brotcorne,Anton Kleywegt,Youcef Magnouche",2019-06-17,"0.info,0.info,1.info.info-ro",,TRISTAN 19 - The Tenth Triennial Symposium on Transportation Analysis,en,false,,"CRIStAL,LAMSADE"
hal-01991668,ART,Time-approximation trade-offs for inapproximable problems,"Edouard Bonnet,Michael Lampis,Vangelis Paschos",2018-03,"0.info,0.info,1.info.info-cc,0.info,1.info.info-ds",Journal of Computer and System Sciences,,en,false,,"LIP,LAMSADE"
hal-02179344,COMM,OLAP Queries Context-Aware Recommender System,"Elsa Negre,Franck Ravat,Olivier Teste",2018-09,0.info,,"29th International Conference, DEXA 2018",en,false,"Information systems and applications,On-line analytical processing OLAP,Data warehousing",LAMSADE
hal-03118174,COUV,Artificial Intelligence for Games,"Bruno Bouzy,Tristan Cazenave,Vincent Corruble,Olivier Teytaud",2020,0.info,,,en,false,,"LIPADE - EA 2517,LAMSADE,FAIR"
hal-03107972,ART,Integrated Laycan and Berth Allocation and time-invariant Quay Crane Assignment Problem in tidal ports with multiple quays,"Hamza Bouzekri,Gülgün Alpan,Vincent Giard",2021-01-04,"0.info,1.info.info-ro,0.shs,1.shs.gestion",European Journal of Operational Research,,en,false,,"G-SCOP,LAMSADE"
hal-02793880,COMM,On the Complexity of Broadcast Domination and Multipacking in Digraphs,"Florent Foucaud,Benjamin Gras,Anthony Perez,Florian Sikora",2020-06-08,"0.info,1.info.info-dm,0.info,1.info.info-ds,0.info,1.info.info-cc",,Combinatorial Algorithms - 31st International Workshop,en,false,,"LaBRI,LIFO,LAMSADE"
hal-02310662,COMM,Extension of Some Edge Graph Problems: Standard and Parameterized Complexity,"Katrin Casel,Henning Fernau,Mehdi Khosravian Ghadikolaei,Jérôme Monnot,Florian Sikora",2019-08,0.info,,"22nd International Symposium, FCT 2019",en,false,"Extension problems,Edge cover,Matching,Edge domination,NP-completeness,Parameterized complexity,Approximation",LAMSADE
hal-02186541,ART,Trader multiflow and box-TDI systems in series-parallel graphs,"Denis Cornaz,Roland Grappe,Mathieu Lacroix",2019,0.info,Discrete Optimization,,en,false,"Box-TDI system,Series–parallel graph,Multiflow","LAMSADE,LIPN"
hal-02152333,ART,A new branch-and-bound algorithm for the maximum edge-weighted clique problem,"Pablo San Segundo,Stefano Coniglio,Fabio Furini,Ivana Ljubić",2019,0.info,European Journal of Operational Research,,en,false,"Combinatorial optimization,Branch-and-bound,Maximum edge-weighted clique problem",LAMSADE
hal-02012467,ART,Three remarkable properties of the Normal distribution for sample variance,"Eric Benhamou,Beatrice Guez,Nicolas Paris",2018,0.stat,Theoretical Mathematics & Applications,,en,false,"Incremental Sharpe ratio,Geary theorem,Levy Cramer theorem,Independence between sample mean and variance","LAMSADE,CRIL"
hal-02193261,ART,Three remarkable properties of the Normal distribution for simple variance,"Eric Benhamou,Beatrice Guez,Nicolas Paris",2018,0.info,Theoretical Mathematics and Applications,,en,false,"Geary theorem,Levy Cramer theorem,Independence between sample mean and variance",LAMSADE
hal-02344009,COMM,On a Simple Hedonic Game with Graph-Restricted Communication,"Vittorio Bilò,Laurent Gourvès,Jérôme Monnot",2019-09-30,"0.info,1.info.info-gt",,International Symposium on Algorithmic Game Theory SAGT 2019,en,false,,LAMSADE
hal-02178964,COMM,How are combined expertise elements in early-warning systems? Observations and propositions from the French system,"Maude Arru,Elsa Negre,Camille Rosenthal-Sabroux",2018-05,0.info,,12th International Conference on Research Challenges in Information Science (RCIS 2018),en,false,"Early-Warning Systems,Systems of Systems,Crisis management,Information Systems",LAMSADE
hal-02379378,ART,Complexity and Approximability of Extended Spanning Star Forest Problems in General and Complete Graphs,"Kaveh Khoshkhah,Mehdi Khosravian Ghadikolaei,Jérôme Monnot,Dirk Theis",2019,"0.info,0.info,1.info.info-cc,0.info,1.info.info-dm",Theoretical Computer Science,,en,false,"Extended solution,Graphs,Computational complexity,Parameterized complexity,Approximation algorithms",LAMSADE
hal-02184996,ART,On maximin share allocations in matroids,"Laurent Gourvès,Jérôme Monnot",2019,0.info,Theoretical Computer Science,,en,false,"Approximation algorithms,Fair division,Matroids",LAMSADE
