halId_s,docType_s,title_s,authFullName_s,producedDate_s,domain_s,journalTitle_s,conferenceTitle_s,language_s,inPress_bool,keyword_s,labStructAcronym_s
hal-03103742,ART,Two hybrid metaheuristic approaches for the covering salesman problem,"Venkatesh Pandiri,Alok Singh,André Rossi",2019,0.info,Neural Computing and Applications,,en,false,"Covering salesman problem,Traveling salesman problem,Heuristic,Genetic algorithm,Artificial bee colony algorithm,Covering salesman problem",LAMSADE
hal-02301677,ART,Parametric schema inference for massive JSON datasets,"Amine Baazizi,Dario Colazzo,Giorgio Ghelli,Carlo Sartiani",2019,0.info,The VLDB Journal,,en,false,"JSON,Schema inference,Map-reduce,Spark,Big data collections","LRI,LAMSADE,DiMIE"
hal-02075097,COMM,Parameterized Orientable Deletion,"Tesshu Hanaka,Ioannis Katsikarelis,Michael Lampis,Yota Otachi,Florian Sikora",2018-06,0.info,,SWAT 2018,en,false,"Graph orientations,FPT algorithms,Treewidth,SETH",LAMSADE
hal-02075335,COMM,Designing RNA Secondary Structures Is Hard,"Edouard Bonnet,Pawel Rzążewski,Florian Sikora",2018-04,0.info,,RECOMB 2018,en,false,"Probabilistic models,Probability,Problem solving",LAMSADE
hal-02184942,COMM,Extension of Vertex Cover and Independent Set in Some Classes of Graphs,"Katrin Casel,Henning Fernau,Mehdi Khosravian Ghadikolaei,Jérôme Monnot,Florian Sikora",2019-05,0.info,,"11th International Conference, CIAC 2019",en,false,"Extension problems,Special graph classes,Approximation algorithms,NP-completeness",LAMSADE
hal-01991645,COMM,The PACE 2018 Parameterized Algorithms and Computational Experiments Challenge: The Third Iteration,"Edouard Bonnet,Florian Sikora",2018-08-22,"0.info,0.info,1.info.info-ds",,IPEC 2018,en,false,"Steiner tree problem,Contest,Implementation challenge,FPT","LIP,LAMSADE"
hal-02184878,COMM,Weighted Upper Edge Cover: Complexity and Approximability,"Kaveh Khoshkhah,Mehdi Khosravian Ghadikolaei,Jérôme Monnot,Florian Sikora",2019-02,0.info,,"13th International Conference, WALCOM 2019",en,false,"Maximum minimal edge cover,Graph optimization problem,Computational complexity,Approximability",LAMSADE
hal-02115544,ART,Parameterized complexity and approximation issues for the colorful components problems,"Riccardo Dondi,Florian Sikora",2018,0.info,Theoretical Computer Science,,en,false,"Colorful components,Parameterized complexity,Algorithms,Computational biology",LAMSADE
hal-02157832,COMM,"Flexi-security stocks\, a new approach for semi-raw materials used in blending","Mouna Bamoumen,Vincent Giard,Hajar Hilali,Vincent Hovelaque,Asma Rakiz",2018-07,0.info,,ILS Conference 2018,en,false,"Safety Stock,Dynamic Blending,Risk,Uncertain Universe","CREM,LAMSADE"
hal-02098406,ART,On the Product Knapsack Problem,"Claudia D’ambrosio,Fabio Furini,Michele Monaci,Emiliano Traversi",2018,"0.info,0.info,1.info.info-ro",Optimization Letters,,en,false,"Complexity,Dynamic programming,Knapsack problem,Mixed integer nonlinear programming","LIX,LAMSADE,LIPN"
hal-02152294,ART,Benders decomposition for very large scale partial set covering and maximal covering location problems,"Jean-François Cordeau,Fabio Furini,Ivana Ljubić",2019,0.info,European Journal of Operational Research,,en,false,"Combinatorial optimization,Location problems,Covering,Benders decomposition,Branch-and-cut algorithms",LAMSADE
hal-02436807,ART,Critical vertices and edges in H-free graphs,"Daniël Paulusma,Christophe Picouleau,Bernard Ries",2019,"0.info,1.info.info-ds,0.info,1.info.info-dm,0.math,1.math.math-co,0.info",Discrete Applied Mathematics,,en,false,"Vertex deletion,Edge contraction,Chromatic number","CEDRIC,LAMSADE"
hal-02178984,COMM,Emergence d'un nouveau type de Système de Systèmes : observations et propositions à partir du système d'alerte national français,"Maude Arru,Elsa Negre,Camille Rosenthal-Sabroux",2018-05,0.info,,36ème congrès INFORSID. Construire les Systèmes d’Information pour la Transformation des Organisations à l’ère de l’Innovation Numérique (INFORSID 2018),fr,false,"Systèmes d’alerte précoce,Systèmes de Systèmes,Gestion de crise,Systèmes d’Information,Early-Warning Systems,Systems of Systems,Crisis management,Information Systems",LAMSADE
hal-02436808,ART,Contraction and deletion blockers for perfect graphs and H-free graphs,"Öznur Yaşar Diner,Daniël Paulusma,Christophe Picouleau,Bernard Ries",2018-10,"0.info,1.info.info-ds,0.info,1.info.info-dm,0.math,1.math.math-co,0.info",Theoretical Computer Science,,en,false,,"CEDRIC,LAMSADE"
hal-02165904,ART,The many facets of upper domination,"Cristina Bazgan,Ljiljana Brankovic,Katrin Casel,Henning Fernau,Klaus Jansen,Kim-Manuel Klein,Michael Lampis,Mathieu Liedloff,Jérôme Monnot,Vangelis Th. Paschos",2018,0.info,Theoretical Computer Science,,en,false,"Dominating set,Inapproximability,Fixed parameter intractability,Extension problems,Bounded-degree graphs","LAMSADE,LIFO"
hal-02296562,ART,Approachability of convex sets in generalized quitting games,"Janos Flesh,Rida Laraki,Vianney Perchet",2018,0.info,Games and Economic Behavior,,en,false,"Blackwell approachability,Stochastic games,Absorbing games,Determinacy","LAMSADE,CMLA"
hal-02501918,COMM,Decentralization of 5G slice resource allocation,"Francesca Fossati,Stefano Moretti,Stephane Rovedakis,Stefano Secci",2020-04-20,"0.info,1.info.info-ni,0.info,1.info.info-dc",,IEEE/IFIP Network Operations and Management Symposium (NOMS),en,false,,"CEDRIC,LAMSADE"
hal-03134042,ART,Planning a multi-sensors search for a moving target considering traveling costs,"Florian Delavernhe,Patrick Jaillet,André Rossi,Marc Sevaux",2021-07,"0.info,1.info.info-ro",European Journal of Operational Research,,en,false,,"LERIA,LAMSADE,Lab-STICC"
hal-03216813,ART,Spatial and temporal robustness for scheduling a target tracking mission using wireless sensor networks,"Florian Delavernhe,André Rossi,Marc Sevaux",2021-08,"0.info,1.info.info-ro",Computers and Operations Research,,en,false,,"LERIA,LAMSADE,Lab-STICC"
hal-01785011,COMM,Accountable Approval Sorting,"Khaled Belahcene,Yann Chevaleyre,Nicolas Maudet,Christophe Labreuche,Vincent Mousseau,Wassila Ouerdane",2018-07-13,"0.info,1.info.info-ai",,27th International Joint Conference on Artificial Intelligence and 23rd European Conference on Artificial Intelligence (IJCAI-ECAI 2018),en,false,,"LGI,LAMSADE,UMPhy CNRS/THALES"
hal-02374726,ART,Acyclic Gambling Games,"Rida Laraki,Jérôme Renault",2019,0.math,Mathematics of Operations Research,,en,true,"Zero-Sum Stochastic Games,Markov Decision Process,Asymptotic and Uniform Value,Gambling Theory,Mertens-Zamir System,Splitting Games Classification Primary 91A15,91A60,Secondary 60G40,90C40",LAMSADE
hal-01917762,ART,Flow-Aware Workload Migration in Data Centers,"Yoann Desmouceaux,Sónia Toubaline,Thomas Clausen",2018,"0.info,1.info.info-dc",Journal of Network and Systems Management,,en,false,"Pareto optimality,Multi-objective optimization,MILP,Application-aware allocation,Data center networking,VM migration","LIX,LAMSADE"
hal-02286136,COMM,Genetic Programming over Spark for Higgs Boson Classification,"Hmida Hmida,Sana Ben Hamida,Amel Borgi,Marta Rukoz",2019-06-26,"0.info,1.info.info-ai",,22nd International Conference Business Information Systems,en,false,Genetic Programming Machine learning Spark Large dataset Higgs Boson classification,"LAMSADE,LIPAH"
hal-02286178,COMM,Genetic Algorithm to Detect Different Sizes’ Communities from Protein-Protein Interaction Networks,"Marwa Ben M'Barek,Amel Borgi,Sana Ben Hamida,Marta Rukoz",2019-07-26,"0.info,1.info.info-ai",,14th International Conference on Software Technologies,en,false,"Semantic Similarity,Genetic Algorithm,Gene Ontology,Community detection,Protein-protein or Gene-gene interaction networks","LIPAH,LAMSADE"
hal-02187884,COMM,QBF as an Alternative to Courcelle’s Theorem,"Michael Lampis,Stefan Mengel,Valia Mitsou",2018-07,0.info,,21st International Conference on Theory and Applications of Satisfiability Testing – SAT 2018,en,false,Quantified Boolean formulas,"LAMSADE,CRIL,IRIF (UMR_8243)"
hal-02308114,COMM,Optimization issues in phenotyping plateforms,"Marian Brestic,André Rossi,Oksana Sytar,Marek Zivcak",2019-02,0.info,,20ème congrès annuel de la société Française de Recherche Opérationnelle et d’Aide à la Décision (ROADEF 2019),en,false,"Biology,Phenotyping plateforms,Scheduling,Optimization",LAMSADE
hal-02177593,ART,Using multi-target feature evaluation to discover factors that affect business process behavior,"Pavlos Delias,Athanasios Lagopoulos,Grigorios Tsoumakas,Daniela Grigori",2018,0.info,Computers in Industry,,en,false,"Process mining,General correlation problem,Multi-target prediction",LAMSADE
hal-02165881,COMM,Structurally Parameterized d-Scattered Set,"Ioannis Katsikarelis,Michael Lampis,Vangelis Th. Paschos",2018-06,0.info,,"44th International Workshop, WG 2018",en,false,"Independent set,Scattered set",LAMSADE
hal-01915871,COUV,Multiagent deontic logic and its challenges from a normative systems perspective,"Gabriella Pigozzi,Leon van der Torre",2018,0.info,,,en,false,"Game theory,Multiagent logic",LAMSADE
hal-01830911,COMM,Towards automatic argumentation about voting rules,"Michael Kirsten,Olivier Cailloux",2018-07-02,"0.info,0.info,1.info.info-ai",,4ème conférence sur les Applications Pratiques de l'Intelligence Artificielle APIA2018,en,false,"Social choice theory,Bounded model checking,Argumentation theory,Automated reasoning",LAMSADE
hal-02891786,COMM,MEMORAe-CWE : un système collaboratif de systèmes d’information à base d’ontologies,"Siying Li,Marie-Hélène Abel,Elsa Negre",2020-06-30,"0.info,1.info.info-ai",,31ème Journées Francophones d'Ingénierie des Connaissances (IC 2020),fr,false,"Contexte de collaboration,Ontologie,Système de Systèmes d’Information,Environnement de Travail Collaboratif","Heudiasyc,LAMSADE"
hal-02410287,COMM,Single Transferable Vote: Incomplete Knowledge and Communication Issues,"Manel Ayadi,Nahla Amor,Jérôme Lang,Dominik Peters",2019-05-13,"0.info,0.info,1.info.info-ai",,"Proceedings of the 18th International Conference on Autonomous Agents and MultiAgent Systems, AAMAS '19",en,false,,"LARODEC,LAMSADE"
hal-02303794,ART,Efficient reallocation under additive and responsive preferences,"Haris Aziz,Peter Biro,Jérôme Lang,Julien Lesca,Jérôme Monnot",2019,0.info,Theoretical Computer Science,,en,false,"Fair division,Resource allocation,Pareto optimality",LAMSADE
hal-02410292,COMM,Portioning Using Ordinal Preferences: Fairness and Efficiency,"Stéphane Airiau,Haris Aziz,Ioannis Caragiannis,Justin Kruger,Jérôme Lang,Dominik Peters",2019-08-10,"0.info,0.info,1.info.info-ai",,"Proceedings of the Twenty-Eighth International Joint Conference on Artificial Intelligence, IJCAI 2019",en,false,,"LAMSADE,CTI"
hal-02307486,COMM,Single Transferable Vote: Incomplete Knowledge and Communication Issues,"Manel Ayadi,Nahla Ben Amor,Jérôme Lang,Dominik Peters",2019-05,0.info,,18th International Conference on Autonomous Agents and MultiAgent Systems (AAMAS 19),en,false,"Computational complexity,Approximation","LAMSADE,LARODEC"
hal-02172761,ART,Multi-attribute proportional representation,"Jérôme Lang,Piotr Skowron",2018,0.info,Artificial Intelligence,,en,false,"Proportional representation,Diversity,Multiwinner elections,Apportionment,Recommendation systems,Algorithms,Computational complexity,Approximation algorithms",LAMSADE
hal-02158158,COMM,"The Communication Burden of Single TransferableVote\, in Practice","Manel Ayadi,Nahla Ben Amor,Jérôme Lang",2018-06,0.info,,7th International Workshop on Computational Social Choice (COMSOC 2018),en,false,"Vote,STV","LARODEC,LAMSADE"
hal-02104874,ART,Complexity of Grundy coloring and its variants,"Edouard Bonnet,Florent Foucaud,Eun Jung Kim,Florian Sikora",2018,0.info,Discrete Applied Mathematics,,en,false,"Grundy coloring,Computational complexity,Weak Grundy,Connected Grundy,Exact algorithm,Parameterized complexity","SZTAKI,LIMOS,LAMSADE"
hal-02428547,ART,Robust scheduling for target tracking using wireless sensor networks,"Florian Delavernhe,Charly Lersteau,André Rossi,Marc Sevaux",2020-01,"0.info,1.info.info-ro",Computers and Operations Research,,en,false,,"LERIA,LAMSADE,Lab-STICC"
hal-02091342,ART,Parameterized and approximation complexity of Partial VC Dimension,"Cristina Bazgan,Florent Foucaud,Florian Sikora",2019,0.info,Theoretical Computer Science,,en,false,"VC dimension,Distinguishing Transversal,Partial problems,Hypergraphs,Parameterized complexity,Approximation complexity","LAMSADE,LIMOS"
hal-01649184,ART,Fuzzy ACID properties for self-adaptive composite cloud services execution,"Yudith Cardinale,Joyce El Haddad,Maude Manouvrier,Marta Rukoz",2019-01-25,0.info,Concurrency and Computation: Practice and Experience,,en,false,"Cloud computing services,Fault tolerance,Relaxed atomicity,Self-adaptive execution,Service composition",LAMSADE
hal-03117499,ART,Polygames: Improved Zero Learning,"Tristan Cazenave,Yen-Chi Chen,Guan-Wei Chen,Shi-Yu Chen,Xian-Dong Chiu,Julien Dehos,Maria Elsa,Qucheng Gong,Hengyuan Hu,Vasil Khalidov,Cheng-Ling Li,Hsin-I Lin,Yu-Jin Lin,Xavier Martinet,Vegard Mella,Jeremy Rapin,Baptiste Roziere,Gabriel Synnaeve,Fabien Teytaud,Olivier Teytaud,Shi-Cheng Ye,Yi-Jun Ye,Shi-Jim Yen,Sergey Zagoruyko",2020,0.info,International Computer Games Association Journal,,en,false,,LAMSADE
hal-02418009,COUV,How to Use Ambiguity in Problem Framing for Enabling Divergent Thinking: Integrating Problem Structuring Methods and Concept-Knowledge Theory,"Raffaele Giordano,Irene Pluchinotta,Dimitrios Zikos,Tobias Krueger,Alexis Tsoukiàs",2020,0.info,,,en,false,"Modeling,Ambiguity",LAMSADE
hal-02179749,ART,Supporting decisions in public policy making processes: generation of alternatives and innovation,"Valentina Ferretti,Irene Pluchinotta,Alexis Tsoukiàs",2019,"0.info,0.info,1.info.info-ro",European Journal of Operational Research,,en,false,Decision Processes,"LSE,LAMSADE"
hal-02369417,ART,Decision support in participatory contexts: The organisational design dimension,"Mazri Chabane,Katherine Daniell,Alexis Tsoukiàs",2019-07,"0.info,0.info,1.info.info-ro",International Journal of Decision Support System Technology,,en,false,"Decision processes,Analyst role,Organisational design,Stakeholder participation",LAMSADE
hal-02179733,ART,"A SYSTEM DYNAMICS MODEL FOR SUPPORTING DECISION-MAKERS IN IRRIGATION WATER MANAGEMENT,A system dynamics model for supporting decision-makers in irrigation water management","Irene Pluchinotta,Alessandro Pagano,Raffaele Giordano,Alexis Tsoukiàs",2018,"0.info,0.info,1.info.info-ro",Journal of Environmental Management,,en,false,"Decision analysis,System dynamics,Participatory modelling,Interactions space,Water management,Sustainability",LAMSADE
hal-03005688,COMM,AVANTAGES POTENTIELS DU REVERSE BLENDING SUR LA CHAINE LOGISTIQUE DE L'INDUSTRIE DES ENGRAIS,"Latifa Benhamou,Pierre Féniès,Vincent Giard",2020-11-12,"0.spi,0.shs,1.shs.gestion",,"13ème Conférence Francophone de Modélisation, Optimisation et Simulation- MOSIM’20",fr,false,"Chaine logistique,Recherche Opérationnelle,Innovation,Gestion de Production,Reverse Blending,Différenciation retardée",LAMSADE
hal-02303821,ART,Chore division on a graph,"Sylvain Bouveret,Katarína Cechlarova,Julien Lesca",2019,0.info,Autonomous Agents and Multi-Agent Systems,,en,false,"Computational social choice,Resource allocation,Fair division,Indivisible chores","LIG,LAMSADE"
hal-02935899,ART,Coloring Dense Digraphs,"Ararat Harutyunyan,Tien-Nam Le,Alantha Newman,Stéphan Thomassé",2019-11,"0.math,1.math.math-co,0.info,1.info.info-dm",Combinatorica,,en,false,,"LAMSADE,LIP,G-SCOP,IUF"
hal-02972333,COMM,GA-PPI-Net: A Genetic Algorithm for Community Detection in Protein-Protein Interaction Networks,"Marwa Ben M’barek,Amel Borgi,Sana Ben Hmida,Marta Rukoz",2020-07,0.info,,"14th International Conference, ICSOFT 2019  (Revised Selected Papers)",en,false,"Community detection,Genetic algorithm Protein-Protein or gene-gene interaction networks,Semantic Similarity,Gene Ontology","LAMSADE,LIPAH"
hal-02443514,COMM,A Model-Driven Framework for the Modeling and the Description of Data-as-a-Service to Assist Service Selection and Composition,"Hiba Alili,Rim Drira,Khalid Belhajjame,Henda Ben Ghezala,Daniela Grigori",2019-08,0.info,,30th International Conference on Database and Expert Systems Applications (DEXA 2019),en,false,"Web services,Semantic annotation,Domain ontologies,Model driven engineering,Reuse and specialization,Data-as-a-Service DaaS,Cloud computing","LAMSADE,RIADI"
hal-02098420,ART,Exact approaches for the knapsack problem with setups,"Fabio Furini,Michele Monaci,Emiliano Traversi",2018,0.info,Computers and Operations Research,,en,false,"Knapsack problems,Column generation,Relaxations,Branch-and-bound algorithms,Computational experiments","LAMSADE,LIPN"
hal-02944833,COMM,Learning Interpretable Models using Soft Integrity Constraints,"Khaled Belahcene,Nataliya Sokolovska,Yann Chevaleyre,Jean-Daniel Zucker",2020-11,"0.info,1.info.info-lg,0.info,1.info.info-ai,0.info,1.info.info-ro,0.info,1.info.info-mo",,12th Asian Conference on Machine Learning (ACML 2020),en,false,"Regularization,Interpretable models,Integer models","Heudiasyc,UMR-S 1269 INSERM - Sorbonne Université,LAMSADE"
hal-03177861,COMM,AVANTAGES POTENTIELS DU REVERSE BLENDING SUR LA CHAINE LOGISTIQUE DE L'INDUSTRIE DES ENGRAIS,"L Benhamou,P Féniès,V Giard",2020-11-12,"0.spi,1.spi.auto,0.spi,1.spi.meca",,"13ème CONFERENCE INTERNATIONALE DE MODELISATION, OPTIMISATION ET SIMULATION (MOSIM2020), 12-14 Nov 2020, AGADIR, Maroc",fr,false,"Chaine logistique,Recherche Opérationnelle,Innovation,Gestion de Production,Reverse Blending,Différenciation retardée",LAMSADE
hal-02286084,ART,Scale Genetic Programming for large Data Sets: Case of Higgs Bosons Classification,"Hmida Hmida,Sana Ben Hamida,Amel Borgi,Marta Rukoz",2018,"0.info,1.info.info-ai",Procedia Computer Science,,en,false,"Machine Learning,Cartesian Genetic Programming,Active Sampling,Higgs Bosons Classification,Large dataset",LAMSADE
hal-02152319,ART,The vertex k-cut problem,"Denis Cornaz,Fabio Furini,Mathieu Lacroix,Enrico Malaguti,A. Ridha Mahjoub,Sébastien Martin",2019-02,0.info,Discrete Optimization,,en,false,"Vertex cut,Mixed-integer programming models,Branch and Price,Exact algorithms","LAMSADE,LIPN,LCOMS"
hal-02152302,ART,The maximum clique interdiction problem,"Fabio Furini,Ivana Ljubić,Sébastien Martin,Pablo San Segundo",2019-08,0.info,European Journal of Operational Research,,en,false,"Maximum clique,Interdiction problems,Combinatorial optimization,Social Network analysis,Most vital vertices","LAMSADE,LCOMS"
hal-03032887,ART,Societal attention toward extinction threats: a comparison between climate change and biological invasions,"Ivan Jarić,Céline Bellard,Franck Courchamp,Gregor Kalinkat,Yves Meinard,David Roberts,Ricardo Correia",2020,"0.sde,1.sde.be,0.sde,1.sde.es",Scientific Reports,,en,false,,"IGB,ESE,LAMSADE"
hal-02480290,COUV,Toward Management Based on Knowledge,Michel Grundstein,2019-08-14,"0.info,1.info.info-cc,0.info,1.info.eiah,0.info,1.info.info-si,0.info,1.info.info-cy,0.info,1.info.info-gl,0.info,1.info.info-oh",,,en,false,"Constructivist perspective,Cognitivist perspective,Management based on knowledge MBK,Knowledge management KM",LAMSADE
hal-02437205,COMM,A Self-adaptive Agent-based System for Cloud Platforms,"Philippe Roose,Merzoug Soltane,Yudith Cardinale,Rafael Angarita,Philippe Rosse,Marta Rukoz,Derdour Makhlouf,Kazar Okba",2018-10-24,0.info,,International Conference on Pattern Analysis and Intelligent Systems (PAIS),en,false,,"LIUPPA,LINFI,LAMSADE"
hal-02455961,COMM,A Self-adaptive Agent-based System for Cloud Platforms,"Merzoug Soltane,Yudith Cardinale,Rafael Angarita,Philippe Roose,Marta Rukoz,Derdour Makhlouf,Kazar Okba",2018,"0.info,1.info.info-oh,0.info",,PAIS,en,false,,"LINFI,LIUPPA,LAMSADE"
hal-02864652,ART,Informal risk-sharing cooperatives: the effect of learning and other-regarding preferences,"Victorien Barbet,Renaud Bourlès,Juliette Rouchier",2020-04,"0.shs,1.shs.eco",Journal of Evolutionary Economics,,en,false,"Learning,Cooperative,Agent-based,Risk-sharing,Altruism,Other-regarding preferences","AMSE,LAMSADE"
hal-01646207,COMM,Knowledge-Based Policies for Qualitative Decentralized POMDPs,"Abdallah Saffidine,François Schwarzentruber,Bruno Zanuttini",2018-02-02,"0.info,1.info.info-ai",,32nd AAAI Conference on Artificial Intelligence,en,false,,"LAMSADE,GREYC"
hal-02774511,ART,A decoupled first/second-order steps technique for nonconvex nonlinear unconstrained optimization with improved complexity bounds,"Serge Gratton,Clément Royer,Luís Vicente",2020,"0.math,1.math.math-oc",Mathematical Programming,,en,false,,"IRIT,LAMSADE"
hal-02774086,ART,Direct search based on probabilistic feasible descent for bound and linearly constrained problems,"Serge Gratton,Clément Royer,Luís Vicente,Zaikun Zhang",2019,"0.math,1.math.math-oc",Computational Optimization and Applications,,en,false,,"IRIT,LAMSADE"
hal-02892188,COMM,Theoretical evidence for adversarial robustness through randomization,"Rafael Pinot,Laurent Meunier,Alexandre Araujo,Hisashi Kashima,Florian Yger,Cedric Gouy-Pailler,Jamal Atif",2019-12-08,"0.stat,1.stat.ml,0.stat,1.stat.ap,0.stat,1.stat.th,0.math,1.math.math-st",,33rd Conference on Neural Information Processing Systems (NIPS 2019),en,false,,"LAMSADE,LIST,FAIR"
hal-02892170,COMM,A unified view on differential privacy and robustness to adversarial examples,"Rafael Pinot,Florian Yger,Cedric Gouy-Pailler,Jamal Atif",2019-09-20,"0.stat,1.stat.ml,0.stat,1.stat.ap,0.stat,1.stat.th,0.math,1.math.math-st",,Workshop on Machine Learning for CyberSecurity at ECMLPKDD 2019,en,false,,"LAMSADE,LIST"
hal-01710089,COUV,Riemannian classification for SSVEP based BCI: offline versus online implementations,"Sylvain Chevallier,Emmanuel Kalunga,Quentin Barthélemy,Florian Yger",2018-01-24,"0.info,1.info.info-lg,0.info,1.info.info-ts,0.info,1.info.info-hc",,,en,false,,"LISV,LAMSADE"
hal-02024839,ART,Branch-and-Cut-and-Price algorithms for the preemptive RCPSP,"Pierre Fouilhoux,A.Ridha Mahjoub,Alain Quilliot,Hélène Toussaint",2018,0.math,RAIRO - Operations Research,,en,false,"Resource-constrained precedence scheduling problem,Preemptive case,Antichain,Branch-and-Cut-and-Price algorithm","LAMSADE,LIMOS"
hal-02311536,ART,Error Estimate and Fairness in Resource Allocation with Inaccurate Information Sharing,"Francesca Fossati,Deep Medhi,Stefano Moretti,Stefano Secci",2019-12-01,"0.info,1.info.info-ni",IEEE Networking Letters,,en,false,,"CEDRIC,LAMSADE"
hal-03094648,COMM,Group-based Ordinal Classification based on a Negotiation Process,"Ons Nefla,Meltem Öztürk,Paolo Viappiani,Imène Brigui-Chtioui,Oussama Raboun",2020-07-29,"0.info,1.info.info-ai,0.info,1.info.info-ma",,Rencontre des Jeunes Chercheur·ses en Intelligence Artificielle,en,false,,LAMSADE
hal-02860571,COUV,Compact Representations of Preferences,"Souhila Kaci,Jérôme Lang,Patrice Perny",2020-05-08,0.info,,,en,false,"CP nets,GAI nets,Logical Representations,Preferences","LIRMM,LAMSADE"
hal-02301775,COMM,A Type System for Interactive JSON Schema Inference (Extended Abstract),"Mohamed-Amine Baazizi,Dario Colazzo,Giorgio Ghelli,Carlo Sartiani",2019-07-08,0.info,,"46th International Colloquium on Automata, Languages, and Programming (ICALP 2019)",en,false,"JSON,Type systems,Interactive inference","LAMSADE,DiMIE"
hal-02560196,COMM,Human-in-the-Loop Schema Inference for Massive JSON Datasets,"Mohamed-Amine Baazizi,Clément Berti,Dario Colazzo,Giorgio Ghelli,Carlo Sartiani",2020-03-30,"0.info,1.info.info-db",,EDBT 2020 - 23nd International Conference on Extending Database Technology,en,false,,"LAMSADE,DI,DMI"
hal-02301739,COMM,Schemas and Types for JSON Data: From Theory to Practice,"Mohamed-Amine Baazizi,Dario Colazzo,Giorgio Ghelli,Carlo Sartiani",2019-06-30,0.info,,SIGMOD '19 - International Conference on Management of Data 2019,en,false,"JSON,Schemas,Schema inference,Parsing,Schema libraries","LAMSADE,DiMIE"
hal-02299837,ART,Focus distance-aware lifetime maximization of video camera-based wireless sensor networks,"André Rossi,Alok Singh,Marc Sevaux",2021,"0.info,1.info.info-ro",Journal of Heuristics,,en,false,,"LAMSADE,Lab-STICC"
hal-03190106,COMM,Not Elimination and Witness Generation for JSON Schema (short version),"Mohamed-Amine Baazizi,Dario Colazzo,Giorgio Ghelli,Carlo Sartiani,Stefanie Scherzinger",2020-10-27,0.info,,"36ème Conférence sur la Gestion de Données – Principes, Technologies et Applications.",en,false,"JSON Schema,Negation,Witness generation",LAMSADE
hal-02485676,COMM,Résolution du problème de bin-packing robuste par un algorithme de branch-and-price,"Xavier Schepler,Alexandre Dolgui,Evgeny Gurevsky,André Rossi",2020-02-19,"0.info,1.info.info-ro",,21e Congrès Annuel de la Société Française de Recherche Opérationnelle et d’Aide à la Décision (ROADEF 2020),en,false,,"LS2N,LAMSADE"
hal-03003764,ART,Robust balancing of transfer lines with blocks of uncertain parallel tasks under fixed cycle time and space restrictions,"Aleksandr Pirogov,Evgeny Gurevsky,André Rossi,Alexandre Dolgui",2021,"0.info,1.info.info-ro",European Journal of Operational Research,,en,false,,"LS2N,LAMSADE"
hal-02191137,ART,Ranking objects from a preference relation over their subsets,"Giulia Bernardi,Roberto Lucchetti,Stefano Moretti",2019,"0.info,0.info,1.info.info-ai",Social Choice and Welfare,,en,false,Ranking,"University of Milan,LAMSADE"
hal-02074964,COMM,Covering with Clubs: Complexity and Approximability,"Riccardo Dondi,Giancarlo Mauri,Florian Sikora,Italo Zoppis",2018-07,0.info,,29th International Workshop on Combinatorial Algorithms (IWOCA 2018),en,false,"Approximation algorithms,Combinatorial optimization,Graph algorithms",LAMSADE
hal-02465066,ART,Covering a Graph with Clubs,"Riccardo Dondi,Giancarlo Mauri,Florian Sikora,Zoppis Italo",2019,0.info,Journal of Graph Algorithms and Applications,,en,false,Graphs,LAMSADE
hal-02098485,ART,Shortest Path Problem variants for the Hydro Unit Commitment Problem,"Wim van Ackooij,Claudia d'Ambrosio,Leo Liberti,Raouia Taktak,Dimitri Thomopulos,Sonia Toubaline",2018,0.info,Electronic Notes in Discrete Mathematics,,en,false,"Hydro Unit Commitment Problem,Time expanded graph representation,Constrained Shortest Path Problem","EDF R&D OSIRIS,LIX,ISIMS,LAMSADE"
hal-01743251,ART,Complexity and inapproximability results for the Power Edge Set problem,"Sónia Toubaline,Claudia D’ambrosio,Leo Liberti,Pierre-Louis Poirion,Baruch Schieber,Hadas Shachnai",2018,0.info,Journal of Combinatorial Optimization,,en,false,"PMU placement problem,Power Edge Set,NP-hardness,Inapproximability","LAMSADE,LIX"
hal-02322719,ART,Algorithms and applications for a class of bilevel MILPs,"Pierre-Louis Poirion,Sónia Toubaline,Claudia d'Ambrosio,Leo Liberti",2020-01-15,"0.info,1.info.info-ro",Discrete Applied Mathematics,,en,false,"Zero forcing sets,Power Edge Set,Binary Programming,Bilevel Programming","LIX,LAMSADE"
hal-02105288,ART,Complexity and inapproximability results for the Power Edge Set problem,"Sonia Toubaline,Claudia d'Ambrosio,Leo Liberti,Pierre-Louis Poirion,Baruch Schieber,Hadas Shachnai",2018-04,"0.info,1.info.info-ro",Journal of Combinatorial Optimization,,en,false,,"LAMSADE,LIX"
hal-01715892,ART,Almost disjoint spanning trees: Relaxing the conditions for completely independent spanning trees,"Benoit Darties,Nicolas Gastineau,Olivier Togni",2018,"0.info,1.info.info-cc,0.info,1.info.info-dm,0.info,1.info.info-ni",Discrete Applied Mathematics,,en,false,"Completely independent spanning trees,Disjoint connected dominating sets,Independent spanning trees,Grid,Spanning trees","Le2i,LAMSADE"
hal-02551892,ART,Tension Between Stability and Representativeness in a Democratic Setting,"Victorien Barbet,Juliette Rouchier,Noé Guiraud,Vincent Laperrière",2020-03,"0.shs,1.shs.eco",Journal of Artificial Societies and Social Simulation,,en,false,"Communication,Short Food Chain,Agent-Based Model,Opinion Dynamics,Democracy,Non-Profit Organization","AMSE,LAMSADE,ESPACE"
